country_code,code,label_fr
FR,4632A,Commerce de gros (commerce interentreprises) de viandes de boucherie
FR,4632B,Commerce de gros (commerce interentreprises) de produits à base de viande
FR,4632C,Commerce de gros (commerce interentreprises) de volailles et gibier
FR,4633Z,"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles"
FR,4634Z,Commerce de gros (commerce interentreprises) de boissons
FR,4635Z,Commerce de gros (commerce interentreprises) de produits à base de tabac
FR,4636Z,"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie"
FR,4637Z,"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices"
FR,4638A,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques"
FR,4638B,Commerce de gros (commerce interentreprises) alimentaire spécialisé divers
FR,4639A,Commerce de gros (commerce interentreprises) de produits surgelés
FR,4639B,Commerce de gros (commerce interentreprises) alimentaire non spécialisé
FR,4641Z,Commerce de gros (commerce interentreprises) de textiles
FR,4642Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures
FR,4643Z,Commerce de gros (commerce interentreprises) d'appareils électroménagers
FR,4644Z,"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien"
FR,4645Z,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté
FR,4646Z,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
FR,4647Z,"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage"
FR,4648Z,Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie
FR,4649Z,Commerce de gros (commerce interentreprises) d'autres biens domestiques
FR,4651Z,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
FR,4652Z,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
FR,4661Z,Commerce de gros (commerce interentreprises) de matériel agricole
FR,4662Z,Commerce de gros (commerce interentreprises) de machines-outils
FR,4663Z,"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil"
FR,4664Z,Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement
FR,4665Z,Commerce de gros (commerce interentreprises) de mobilier de bureau
FR,4666Z,Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau
FR,4669A,Commerce de gros (commerce interentreprises) de matériel électrique
FR,4669B,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers
FR,4669C,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services
FR,4671Z,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
FR,4672Z,Commerce de gros (commerce interentreprises) de minerais et métaux
FR,4673A,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction
FR,4673B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration
FR,4674A,Commerce de gros (commerce interentreprises) de quincaillerie
FR,4674B,Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage
FR,4675Z,Commerce de gros (commerce interentreprises) de produits chimiques
FR,4676Z,Commerce de gros (commerce interentreprises) d'autres produits intermédiaires
FR,4677Z,Commerce de gros (commerce interentreprises) de déchets et débris
FR,4690Z,Commerce de gros (commerce interentreprises) non spécialisé
FR,4711A,Commerce de détail de produits surgelés
FR,4711B,Commerce d'alimentation générale
FR,4711C,Supérettes
FR,4711D,Supermarchés
FR,4711E,Magasins multi-commerces
FR,4711F,Hypermarchés
FR,4719A,Grands magasins
FR,4719B,Autres commerces de détail en magasin non spécialisé
